TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,STATUS,DEFERRABLE,DEFERRED,COLUMN_NAME,R_CONSTRAINT_NAME
EBA_DEMO_SEARCH_CUSTOMERS,SYS_C00191194608,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMAIL_ADDRESS,
EBA_DEMO_SEARCH_CUSTOMERS,EBA_DEMO_SEARCH_CUSTOMERS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,
EBA_DEMO_SEARCH_CUSTOMERS,EBA_DEMO_SEARCH_CUST_EMAIL_U,U,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMAIL_ADDRESS,
EBA_DEMO_SEARCH_ORDERS,EBA_DEMO_SEARCH_ORDER_STATUS_C,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_STATUS,
EBA_DEMO_SEARCH_ORDERS,SYS_C00191194616,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_ID,
EBA_DEMO_SEARCH_ORDERS,SYS_C00191194617,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_DATETIME,
EBA_DEMO_SEARCH_ORDERS,SYS_C00191194618,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,
EBA_DEMO_SEARCH_ORDERS,SYS_C00191194619,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_STATUS,
EBA_DEMO_SEARCH_ORDERS,SYS_C00191194620,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STORE_ID,
EBA_DEMO_SEARCH_ORDERS,EBA_DEMO_SEARCH_ORDERS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_ID,
EBA_DEMO_SEARCH_ORDERS,EBA_DEMO_SEARCH_ORD_CUST_ID_FK,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,EBA_DEMO_SEARCH_CUSTOMERS_PK
EBA_DEMO_SEARCH_ORDERS,EBA_DEMO_SEARCH_ORD_STR_ID_FK,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,STORE_ID,EBA_DEMO_SEARCH_STORES_PK
EBA_DEMO_SEARCH_ORDER_ITEMS,SYS_C00191194627,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_ID,
EBA_DEMO_SEARCH_ORDER_ITEMS,SYS_C00191194628,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,LINE_ITEM_ID,
EBA_DEMO_SEARCH_ORDER_ITEMS,SYS_C00191194629,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_ID,
EBA_DEMO_SEARCH_ORDER_ITEMS,SYS_C00191194630,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,UNIT_PRICE,
EBA_DEMO_SEARCH_ORDER_ITEMS,SYS_C00191194631,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,QUANTITY,
EBA_DEMO_SEARCH_ORDER_ITEMS,EBA_DEMO_SEARCH_ORDER_ITEMS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_ID,
EBA_DEMO_SEARCH_ORDER_ITEMS,EBA_DEMO_SEARCH_ORDER_ITEMS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,LINE_ITEM_ID,
EBA_DEMO_SEARCH_ORDER_ITEMS,EBA_DEMO_SEARCH_ITEM_ORD_ID_FK,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_ID,EBA_DEMO_SEARCH_ORDERS_PK
EBA_DEMO_SEARCH_ORDER_ITEMS,EBA_DEMO_SEARCH_ITEM_PRD_ID_FK,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_ID,EBA_DEMO_SEARCH_PRODUCTS_PK
EBA_DEMO_SEARCH_ORDER_ITEMS,EBA_DEMO_SEARCH_ORD_ITEM_PRD_U,U,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_ID,
EBA_DEMO_SEARCH_ORDER_ITEMS,EBA_DEMO_SEARCH_ORD_ITEM_PRD_U,U,ENABLED,NOT DEFERRABLE,IMMEDIATE,ORDER_ID,
EBA_DEMO_SEARCH_PRODUCTS,EBA_DEMO_SEARCH_PRODUCT_JSON_C,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_DETAILS,
EBA_DEMO_SEARCH_PRODUCTS,SYS_C00191194623,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_ID,
EBA_DEMO_SEARCH_PRODUCTS,SYS_C00191194624,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_NAME,
EBA_DEMO_SEARCH_PRODUCTS,EBA_DEMO_SEARCH_PRODUCTS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_ID,
EBA_DEMO_SEARCH_STORES,EBA_DEMO_SEARCH_REQUIRED_ADR_C,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PHYSICAL_ADDRESS,
EBA_DEMO_SEARCH_STORES,EBA_DEMO_SEARCH_REQUIRED_ADR_C,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,WEB_ADDRESS,
EBA_DEMO_SEARCH_STORES,SYS_C00191194611,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STORE_ID,
EBA_DEMO_SEARCH_STORES,SYS_C00191194612,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STORE_NAME,
EBA_DEMO_SEARCH_STORES,EBA_DEMO_SEARCH_STORES_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,STORE_ID,
EBA_DEMO_SEARCH_STORES,EBA_DEMO_SEARCH_STORE_NAME_U,U,ENABLED,NOT DEFERRABLE,IMMEDIATE,STORE_NAME,
EBA_DEMO_SEARCH_WEB_CREDS,SYS_C00191194638,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CREDENTIAL_STATIC_ID,
EBA_DEMO_SEARCH_WEB_CREDS,SYS_C00191194639,U,ENABLED,NOT DEFERRABLE,IMMEDIATE,CREDENTIAL_STATIC_ID,
LOAN_APPLICATIONS,SYS_C00189763060,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,APPLICATION_ID,
LOAN_APPLICATIONS,SYS_C00189763061,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,
LOAN_APPLICATIONS,SYS_C00189763062,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,APPLICATION_DATE,
LOAN_APPLICATIONS,SYS_C00189763063,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,REQUESTED_AMOUNT,
LOAN_APPLICATIONS,SYS_C00189763064,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TERM_MONTHS,
LOAN_APPLICATIONS,SYS_C00189763065,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PURPOSE,
LOAN_APPLICATIONS,SYS_C00189763066,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PRODUCT_TYPE,
LOAN_APPLICATIONS,SYS_C00189763067,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STATUS,
LOAN_APPLICATIONS,SYS_C00189763068,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,EXTERNAL_SCORE,
LOAN_APPLICATIONS,SYS_C00189763069,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,DECISION_REASON,
LOAN_APPLICATIONS,SYS_C00189763070,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CREATED_BY_USER_ID,
LOAN_APPLICATIONS,SYS_C00189763071,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CREATED_AT,
LOAN_APPLICATIONS,SYS_C00189763072,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,UPDATED_AT,
LOAN_APPLICATIONS,LOAN_APPLICATIONS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,APPLICATION_ID,
LOAN_APPLICATIONS,FK_LA_CREATED_BY_USER,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,CREATED_BY_USER_ID,USERS_PK
LOAN_APPLICATIONS,FK_LA_CUSTOMER,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,PK_CUSTOMERS
RISK_SCORES,SYS_C00189764815,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,RISK_SCORE_ID,
RISK_SCORES,SYS_C00189764816,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,APPLICATION_ID,
RISK_SCORES,RISK_SCORES_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,RISK_SCORE_ID,
RISK_SCORES,FK_RS_APPLICATION,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,APPLICATION_ID,LOAN_APPLICATIONS_PK
USERS,SYS_C00189765125,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,USER_ID,
USERS,SYS_C00189765126,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,USERNAME,
USERS,SYS_C00189765127,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PASSWORD_HASH,
USERS,SYS_C00189765128,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,FULL_NAME,
USERS,SYS_C00189765129,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMAIL,
USERS,SYS_C00189765130,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ROLE,
USERS,USERS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,USER_ID,
